timestamps,TP9,AF7,AF8,TP10
1623120417.617,-1000.000,-39.062,-78.613,-1000.000
1623120417.621,96.191,-18.555,2.930,29.297
1623120417.625,-827.637,-12.207,42.480,-951.172
1623120417.629,65.918,-34.668,-34.180,102.051
1623120417.631,-1000.000,-50.781,-86.914,-1000.000
1623120417.635,-261.230,-34.668,-25.879,-361.328
1623120417.639,-838.867,-11.719,37.109,969.238
1623120417.643,390.137,-24.902,-10.742,499.023
1623120417.647,-1000.000,-49.805,-85.449,-895.020
1623120417.651,-584.961,-37.109,-57.129,-677.246
1623120417.655,919.434,-11.230,26.367,712.402
1623120417.658,739.746,-5.859,21.973,780.273
1623120417.662,-734.375,-32.715,-73.242,-578.613
1623120417.666,-937.988,-44.922,-82.520,-926.758
1623120417.670,463.867,-22.949,7.324,358.887
1623120417.674,-958.984,-16.602,30.762,976.562
1623120417.692,-249.512,-45.410,-67.871,-223.145
1623120417.696,-1000.000,-53.711,-98.633,-1000.000
1623120417.700,2.930,-24.902,0.977,-46.875
1623120417.704,-812.012,-8.301,47.363,-942.871
1623120417.708,141.113,-31.738,-26.855,202.148
1623120417.712,-1000.000,-53.711,-90.332,-1000.000
1623120417.716,-334.961,-34.668,-25.391,-443.848
1623120417.719,-870.605,-12.207,49.805,917.480
1623120417.723,458.984,-22.461,-9.277,567.871
1623120417.727,-1000.000,-44.434,-97.656,-823.242
1623120417.731,-662.598,-32.715,-47.852,-746.582
1623120417.735,833.984,-7.812,43.457,629.883
1623120417.736,808.594,-17.578,15.137,823.242
1623120417.740,-637.695,-41.016,-71.289,-511.719
1623120417.744,-1000.000,-41.016,-69.824,-979.980
1623120417.748,373.535,-17.090,15.137,307.129
1623120417.752,-963.379,-12.695,27.344,934.082
1623120417.756,-233.887,-40.039,-62.988,-268.555
1623120417.760,-1000.000,-44.434,-97.168,-1000.000
1623120417.763,-75.684,-17.090,-12.695,-137.207
1623120417.767,-809.570,-7.324,33.691,-954.102
1623120417.771,207.031,-26.367,-41.016,292.969
1623120417.775,-1000.000,-41.016,-95.215,-1000.000
1623120417.779,-396.973,-24.414,-25.879,-520.508
1623120417.782,-912.109,-3.418,40.527,855.469
1623120417.786,541.992,-14.648,-10.742,634.766
1623120417.790,-967.773,-38.574,-83.008,-756.836
1623120417.794,-741.211,-33.691,-52.246,-795.898
1623120417.798,740.723,-8.789,34.668,562.012
1623120417.802,882.324,-16.113,25.391,877.930
1623120417.806,-526.855,-42.480,-65.918,-422.363
1623120417.809,-1000.000,-45.410,-77.148,-1000.000
1623120417.813,243.652,-27.832,-0.488,198.730
1623120417.817,-867.188,-19.043,37.109,-945.312
1623120417.821,-85.938,-43.457,-30.273,-54.688
1623120417.825,-1000.000,-56.152,-79.590,-1000.000
1623120417.827,-70.801,-35.645,-12.207,-146.484
1623120417.831,-827.637,-18.555,39.551,-983.887
1623120417.835,273.926,-26.855,-18.066,368.164
1623120417.839,-1000.000,-45.410,-91.797,-1000.000
1623120417.843,-456.543,-39.551,-38.574,-543.945
1623120417.847,-940.430,-18.555,48.340,885.254
1623120417.851,607.910,-26.855,8.301,671.387
1623120417.854,-892.578,-46.387,-84.961,-707.031
1623120417.858,-821.289,-41.504,-66.895,-846.680
1623120417.862,630.859,-17.090,31.250,484.863
1623120417.866,955.566,-13.672,20.996,914.551
1623120417.870,-410.156,-41.504,-75.684,-358.887
1623120417.871,-1000.000,-47.363,-88.379,-1000.000
1623120417.875,149.902,-21.973,-0.488,105.469
1623120417.879,-840.820,-13.184,35.645,-941.895
1623120417.883,20.508,-30.762,-49.805,39.551
1623120417.887,-1000.000,-44.434,-89.355,-1000.000
1623120417.891,-219.727,-24.902,-13.672,-316.406
1623120417.895,-825.195,-11.230,37.598,983.887
1623120417.898,341.309,-33.203,-23.926,449.707
1623120417.902,-1000.000,-51.270,-94.238,-932.129
1623120417.906,-541.016,-33.203,-35.645,-655.762
1623120417.910,964.355,-10.742,42.969,734.863
1623120417.914,693.359,-16.113,9.766,741.699
1623120417.916,-792.480,-34.668,-70.801,-629.883
1623120417.920,-898.926,-26.855,-61.523,-889.160
1623120417.924,522.461,-7.812,19.531,417.480
1623120417.928,-984.863,-5.371,32.227,962.891
1623120417.932,-303.223,-23.438,-49.316,-257.812
1623120417.936,-1000.000,-37.109,-75.684,-1000.000
1623120417.940,59.570,-23.438,-4.395,14.648
1623120417.943,-820.312,-14.160,25.391,-935.547
1623120417.947,94.727,-28.320,-32.715,146.973
1623120417.951,-1000.000,-43.457,-79.590,-1000.000
1623120417.955,-283.203,-28.320,-25.391,-390.137
1623120417.959,-846.680,-4.883,43.457,951.172
1623120417.961,416.504,-18.555,-16.602,521.973
1623120417.965,-1000.000,-50.293,-102.051,-876.465
1623120417.969,-613.770,-40.527,-53.711,-703.613
1623120417.973,888.672,-11.719,31.250,678.223
1623120417.977,767.090,-14.648,5.859,797.363
1623120417.981,-694.824,-39.551,-88.379,-550.781
1623120417.985,-968.262,-44.434,-87.891,-936.035
1623120417.988,413.086,-16.602,9.766,337.402
1623120417.992,-934.570,-8.301,27.832,989.746
