timestamps,TP9,AF7,AF8,TP10
1623120655.971,387.695,-14.648,75.195,269.043
1623120655.975,491.699,-21.973,39.551,375.977
1623120655.979,-326.660,-45.410,-97.656,-237.793
1623120655.981,-590.332,-47.852,-100.098,-462.891
1623120655.985,199.219,-18.066,40.039,126.953
1623120655.989,585.449,-17.578,63.965,434.082
1623120655.993,-103.027,-46.387,-78.125,-67.383
1623120655.997,-627.441,-50.781,-122.559,-485.840
1623120656.001,-63.477,-30.762,-12.695,-91.797
1623120656.005,574.219,-20.020,61.523,409.180
1623120656.008,140.137,-39.551,-42.969,110.840
1623120656.012,-598.633,-58.594,-134.766,-457.520
1623120656.016,-302.734,-36.133,-44.922,-260.742
1623120656.020,477.051,-7.812,69.336,345.703
1623120656.024,343.262,-19.043,13.184,271.973
1623120656.026,-468.262,-38.574,-114.746,-352.539
1623120656.030,-489.258,-35.645,-86.426,-397.949
1623120656.034,324.219,-17.578,39.062,217.285
1623120656.038,508.789,-13.672,41.992,396.484
1623120656.042,-267.090,-38.574,-98.633,-195.312
1623120656.046,-596.680,-48.828,-140.625,-473.633
1623120656.050,123.535,-16.602,2.441,75.195
1623120656.053,585.938,2.441,66.895,455.566
1623120656.057,-43.457,-20.508,-57.617,-11.719
1623120656.061,-626.953,-40.039,-141.113,-489.258
1623120656.065,-115.234,-27.344,-41.016,-121.094
1623120656.069,557.129,-9.766,64.453,410.156
1623120656.071,183.594,-20.996,-20.996,151.367
1623120656.075,-572.266,-47.363,-142.578,-440.430
1623120656.079,-346.191,-40.527,-74.219,-303.223
1623120656.083,444.824,-15.137,53.223,316.406
1623120656.087,372.559,-19.531,14.160,296.387
1623120656.091,-448.242,-47.852,-124.023,-331.055
1623120656.095,-417.969,-42.480,-88.867,-299.805
1623120656.098,315.430,-14.648,54.199,247.559
1623120656.102,492.188,-15.137,62.500,382.812
1623120656.106,-216.309,-38.574,-80.566,-147.461
1623120656.110,-615.234,-46.875,-132.324,-482.910
1623120656.114,64.941,-29.297,7.324,12.695
1623120656.117,587.402,-3.906,73.730,425.781
1623120656.121,17.578,-17.090,-59.570,7.324
1623120656.125,-618.164,-42.480,-136.230,-491.699
1623120656.129,-165.039,-24.902,-22.949,-166.016
1623120656.133,546.387,-0.977,72.754,396.973
1623120656.137,245.605,-12.207,-11.230,195.801
1623120656.141,-526.367,-25.879,-118.652,-410.645
1623120656.144,-374.023,-16.602,-50.781,-324.707
1623120656.148,423.828,-3.418,73.730,301.758
1623120656.152,427.246,-12.695,30.273,352.051
1623120656.156,-393.066,-38.086,-110.352,-276.367
1623120656.160,-555.664,-42.480,-97.168,-445.801
1623120656.176,225.098,-20.996,45.410,150.879
1623120656.180,539.551,-15.137,63.477,429.688
1623120656.184,-185.059,-40.039,-66.895,-117.676
1623120656.188,-632.324,-49.316,-107.910,-485.352
1623120656.192,35.645,-18.066,19.043,11.230
1623120656.196,575.684,-7.324,74.219,455.566
1623120656.200,39.551,-31.738,-48.340,59.082
1623120656.203,-618.164,-47.363,-132.812,-472.656
1623120656.207,-226.562,-34.668,-51.270,-202.148
1623120656.211,513.672,-18.555,46.875,387.207
1623120656.215,271.484,-27.832,1.465,234.375
1623120656.219,-528.809,-52.246,-127.930,-403.320
1623120656.222,-438.477,-40.527,-85.938,-370.117
1623120656.226,375.977,-6.836,60.059,258.301
1623120656.230,451.660,-15.137,44.434,352.539
